Checkpoint,MAC,Timestamp
-67,ac:0d:1b:de:e5:70,11:52:45 AM
-67,ac:0d:1b:de:e5:70,11:52:45 AM
-83,1c:56:fe:66:6c:6f,11:52:45 AM
-66,ac:0d:1b:de:e5:70,11:52:45 AM
-66,ac:0d:1b:de:e5:70,11:52:45 AM
-83,1c:56:fe:66:6c:6f,11:52:45 AM
-83,1c:56:fe:66:6c:6f,11:52:45 AM
-84,1c:56:fe:66:6c:6f,11:52:45 AM
-89,30:cb:f8:96:58:3a,11:52:45 AM
-90,30:cb:f8:96:58:3a,11:52:45 AM
-91,48:49:c7:1d:b0:b8,11:52:45 AM
-90,30:cb:f8:96:58:3a,11:52:45 AM
-89,30:cb:f8:96:58:3a,11:52:45 AM
-92,28:83:35:d2:bb:c9,11:52:46 AM
-96,38:9a:f6:1b:f3:cd,11:52:46 AM
-91,40:88:05:13:da:d0,11:52:46 AM
-95,28:83:35:d2:bb:c9,11:52:46 AM
-91,40:88:05:13:da:d0,11:52:46 AM
-91,40:88:05:13:da:d0,11:52:46 AM
-91,40:88:05:13:da:d0,11:52:46 AM
-95,40:88:05:13:da:d0,11:52:46 AM
-94,40:88:05:13:da:d0,11:52:46 AM
-71,9c:d9:17:fb:7c:73,11:52:47 AM
-71,9c:d9:17:fb:7c:73,11:52:47 AM
-70,9c:d9:17:fb:7c:73,11:52:47 AM
-70,9c:d9:17:fb:7c:73,11:52:47 AM
-70,9c:d9:17:fb:7c:73,11:52:47 AM
-70,9c:d9:17:fb:7c:73,11:52:47 AM
-76,9c:d9:17:fb:7c:73,11:52:47 AM
-77,9c:d9:17:fb:7c:73,11:52:47 AM
-91,48:49:c7:1d:b0:b8,11:52:47 AM
-93,48:49:c7:1d:b0:b8,11:52:47 AM
-93,88:79:7e:6d:d9:ae,11:52:47 AM
-94,88:79:7e:6d:d9:ae,11:52:47 AM
-93,88:79:7e:6d:d9:ae,11:52:47 AM
-79,88:79:7e:24:e7:76,11:52:47 AM
-79,88:79:7e:24:e7:76,11:52:47 AM
-78,88:79:7e:24:e7:76,11:52:47 AM
-79,88:79:7e:24:e7:76,11:52:47 AM
-79,88:79:7e:24:e7:76,11:52:47 AM
-78,88:79:7e:24:e7:76,11:52:47 AM
-78,88:79:7e:24:e7:76,11:52:47 AM
-78,88:79:7e:24:e7:76,11:52:47 AM
-79,88:79:7e:24:e7:76,11:52:47 AM
-80,88:79:7e:24:e7:76,11:52:47 AM
-80,88:79:7e:24:e7:76,11:52:47 AM
-92,28:83:35:a6:a7:0b,11:52:47 AM
